Date,Product,Region,Sales,Quantity
2026-09-01,Laptop,North,50000,2
2026-09-02,Mouse,South,1500,5
2026-09-03,Keyboard,East,3000,3
2026-09-04,Laptop,West,75000,3
2026-09-05,Mouse,North,2400,8
2026-09-06,Keyboard,South,4500,5
2026-09-07,Laptop,East,60000,2
2026-09-08,Mouse,West,1800,6
2026-09-09,Keyboard,North,3600,4
2026-09-10,Laptop,South,55000,2
2026-09-11,Mouse,East,2100,7
2026-09-12,Keyboard,West,4200,4
2026-09-13,Laptop,North,65000,2
2026-09-14,Mouse,South,2700,9
2026-09-15,Keyboard,East,3300,3
2026-09-16,Laptop,West,80000,3
2026-09-17,Mouse,North,1900,6
2026-09-18,Keyboard,South,4800,5
2026-09-19,Laptop,East,70000,2
2026-09-20,Mouse,West,2300,7
